Id,groupId,matchId,assists,boosts,damageDealt,DBNOs,headshotKills,heals,killPlace,killPoints,kills,killStreaks,longestKill,matchDuration,matchType,maxPlace,numGroups,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,vehicleDestroys,walkDistance,weaponsAcquired,winPoints,winPlacePerc
269c3fc4a26935,3c07be51998e6f,ce9bc89b3ca08c,0,1,100,0,0,0,24,0,1,1,21.25,1398,solo,92,89,1509,0,0,0,61,0,0,1528,3,0,0.8462
c520f86dcd195a,4fffd636a4e0cc,e580bfc77e76cf,0,0,0,0,0,0,82,1046,0,0,0,1518,duo-fpp,46,44,0,0,0,0,0,0,0,60.93,1,1501,0.0889
5cb863f7ac0dcd,667d7cda387b5c,2d3bb641903718,1,0,318,2,0,0,5,0,4,2,103.6,1365,duo-fpp,48,45,1687,0,0,0,0,0,0,2303,2,0,0.7021
6e55ca8db3570e,1aeaa4d08608e8,7c48a07ae6550e,1,0,177.8,1,0,0,73,0,0,0,0,1222,squad-fpp,28,27,1448,0,0,0,0,0,0,133.4,1,0,0.1481
ffd9e56f13438e,8df2112760f9e2,3f8b160eeee685,0,1,61.9,1,0,1,31,0,1,1,48.42,1303,squad,26,25,1472,0,529.1,0,0,0,0,327.3,2,0,0.32
5b0bb2ecf3c824,89b67d696ff85e,02ad4596cf9a35,0,0,0,0,0,0,86,1119,0,0,0,1843,duo-fpp,47,44,-1,0,0,0,0,0,0,128.8,1,1471,0.0217
ca3c89d8045645,7c0f298b843115,ecdfcc7fb07cfc,0,0,245.6,2,1,0,46,0,1,1,6.779,1813,squad-fpp,29,29,1506,0,0,0,0,0,0,52.52,1,0,0.0357
bc6194d5fa2fe5,f7588bdd7bd695,4e7d32f7b41b45,0,1,529.3,3,0,0,12,1717,3,2,20.1,1367,duo-fpp,49,48,-1,0,0,0,0,0,0,534.1,4,1490,0.3958
46ec2eef21c254,0fe2d5264ebb8e,a1a7ef866a79be,0,4,401.2,3,0,6,27,1212,1,1,16.19,1905,duo-fpp,48,47,-1,1,0,0,0,0,0,2576,4,1492,0.7872
921456e81f6fe7,8c727e2173f5b0,6415c14bf43a33,3,1,395.2,2,1,2,13,0,2,1,22.12,1449,squad-fpp,27,25,1463,0,0,0,0,0,0,2003,3,0,0.8077
316fce57a4480c,ddda2a9b82b678,9c5fc446981887,0,0,0,0,0,0,77,1465,0,0,0,1352,squad-fpp,29,27,-1,0,0,0,0,0,0,68.56,2,1495,0.1786
8dfd8c4ea2861d,7634dadf34896d,b5ecde8a2a3185,1,0,0,0,0,0,79,1206,0,0,0,1391,duo-fpp,49,44,-1,0,0,0,0,0,0,79.33,3,1524,0.125
0ba4529562941c,2e8fb650e28957,f7cb7612b6b768,0,0,194.5,0,1,1,19,0,2,1,29.08,2067,solo-fpp,96,94,1460,0,0,0,0,0,0,248.6,5,0,0.2947
c5d63a04ebad0e,15b88a6fe2a9c9,1ace3a32a71103,0,2,279,4,0,1,10,0,3,1,40.19,1909,squad-fpp,29,28,1399,1,0,0,0,0,0,991.7,2,0,0.3571
c67405a29d8d94,a4b7f81ca549ad,217c39c4c3835a,0,0,35.87,0,0,1,63,0,0,0,0,1815,squad-fpp,31,30,1460,0,0,0,0,0,0,2037,4,0,0.5
e36b06a7553224,6fdc29822f8426,33627aff714bf6,0,0,0,0,0,0,67,1341,0,0,0,1355,squad-fpp,30,29,-1,0,0,0,0,0,0,577.2,2,1587,0.3793
e375584f42732e,a26fcb997c4431,87907cb86885c0,0,0,97.57,0,0,0,36,0,1,1,150.7,1767,squad-fpp,29,28,1418,0,0,0,0,0,0,212.9,2,0,0.25
6178abb3fa1d4c,bf11be673c0766,9191d79d9dacea,0,0,52.7,1,0,0,37,1150,1,1,54.31,1343,duo-fpp,47,44,-1,0,0,0,0,0,0,143.8,5,1431,0.2174
6d22bbb91be111,f8eae099ce62a1,eb89846da810e3,0,1,23.22,0,0,1,47,1208,0,0,0,1867,squad-fpp,29,28,-1,1,1702,0,111.8,0,0,3663,2,1565,0.8214
d79cdeb0ac6eb5,82ff744317632e,6c79fb59bd74c2,2,4,560.8,5,2,9,4,1355,5,2,28.48,1374,squad,26,26,-1,0,0,0,0,0,0,2190,7,1534,0.64
ccd2eb49c09d77,aec70dc7cd2994,a4861c84dd1d2b,0,3,218.8,2,2,3,6,0,4,1,86.24,1423,squad-fpp,29,28,1434,0,0,0,0,0,0,3078,4,0,0.8929
7e8f5c11aa9dd9,f6e200c4f98c3c,ee313012ea3e01,0,1,81,1,0,1,29,0,1,1,20.13,1357,squad-fpp,30,30,1327,0,0,0,0,0,0,687.7,2,0,0.5517
a02d62f153b033,69745bfb9412d9,6945783270e8dc,1,1,133.1,1,0,1,47,1358,1,1,7.093,1196,squad-fpp,28,27,0,0,0,0,0,0,0,127.7,1,1454,0.1111
d551381427e157,39d3a3acbe38d7,5a5d23025129e2,0,2,100,0,1,2,29,0,1,1,21.86,1959,solo-fpp,95,93,1698,0,0,0,0,0,0,1606,5,0,0.6809
5c46a37a783839,fcdc3ec45f9aea,2f985254dfe02b,0,1,170,1,1,4,16,0,2,2,80.31,1327,squad-fpp,26,26,1448,0,0,0,0,0,0,3182,2,0,0.72
dd87e30dc17eff,629ff5d2728458,f4f95b16c74a74,1,4,135.2,1,0,4,8,0,3,1,128.4,1289,duo-fpp,45,42,1544,0,0,0,0,0,0,2593,7,0,0.9091
eea397f23204bd,19650a810dbdbf,b99cd2f850c233,0,0,100,1,0,0,41,1272,1,1,3.55,1278,squad-fpp,27,27,-1,0,0,0,0,0,0,9.907,1,1514,0
73348483a5974b,1c8e486a643207,85601fe44d519b,0,0,17.81,0,0,0,79,1274,0,0,0,1945,solo,99,95,-1,0,129.3,0,0,0,0,471.9,3,1536,0.2245
d2690c6ee5798c,b28ab385b07dc0,5eecd627f965a7,0,0,87.39,1,1,0,21,0,2,2,13.17,1388,duo-fpp,48,44,1514,1,0,0,20.11,0,0,735,4,0,0.4468
b83ba80e820303,c7979543803b35,56369e162a028b,0,1,192.5,0,0,8,27,1125,1,1,55.1,1739,squad-fpp,25,23,-1,0,4.268,0,0,0,0,1378,7,1374,0.5417
43bfa2926267fc,d1e381d0a0e920,e84bdcba8b7865,0,6,467.8,2,1,6,2,0,5,1,70.94,1308,squad-fpp,28,28,1526,0,0,0,0,0,0,4286,7,0,0.963
22252be49d4419,37fa7583da2fa2,1ce1cb998f75c7,1,5,378.8,2,3,6,4,0,4,2,61.39,1297,squad-fpp,29,28,1431,0,317.7,0,0,0,1,3120,4,0,1
b980859d30a6b2,0e062d8dfa071e,fddb99bae59e26,0,0,30.1,0,0,0,77,0,0,0,0,1192,duo-fpp,49,49,1515,0,0,0,0,0,0,194.1,2,0,0.1875
caa1a36afeb7b2,c653cfca3b8b06,e5e181d2da0334,0,1,100,0,0,0,38,1000,1,1,7.667,2042,solo,90,86,-1,0,0,0,0,0,0,231.7,4,1500,0.1573
83fac43ac28f44,deedec555b9d29,1d79bd97213347,0,0,100,1,0,0,55,0,0,0,0,2048,duo-fpp,48,44,1497,0,0,0,0,0,0,3580,5,0,0.617
83d0b9e08b6e72,1246493aa7619b,55a60d2026f67e,0,3,408,2,0,0,5,1076,4,2,9.437,1404,squad,31,31,-1,0,0,0,226,0,0,2135,5,1471,0.7667
84aa77226db78f,90408966a87241,5b8ab02610ca96,0,3,0,0,0,13,49,0,0,0,0,1358,squad-fpp,30,30,1531,0,0,0,0,1,0,3165,7,0,0.9655
a6ee0f6ffa8bb6,28b2c15c454bb9,c8336954c4e18c,0,4,146.5,1,1,3,12,0,2,1,169.9,1827,squad-fpp,29,28,1499,2,0,0,0,0,0,4321,6,0,0.8571
8b3cdbefd1f408,d25fc68b94f38c,128c05e4e54c63,0,0,0,0,0,0,91,0,0,0,0,1376,squad-fpp,27,25,1401,0,0,0,0,0,0,27.06,1,0,0
03cab96432e075,d9cb24f1a28ccb,1845c9080c7186,0,3,164.8,0,0,9,54,0,0,0,0,1867,duo-fpp,47,44,1442,0,5271,0,9.096,0,0,1488,6,0,0.6522
5bb54605cf686f,f404c85b448b84,95b1fd3ad3f3a8,1,2,83.08,1,0,1,40,0,1,1,21.94,1350,squad-fpp,29,29,1388,0,0,0,0,0,0,576.7,3,0,0.2857
5d8016d7aa9437,9da0fb0be19117,b4d329043d5c60,2,1,243.1,1,1,1,29,0,1,1,176,1892,duo-fpp,47,45,1488,0,0,0,0,0,0,1749,4,0,0.7609
b23e720058fc87,a5a5052aa40425,6ccd7bc2061238,1,0,42.57,0,0,0,86,0,0,0,0,1372,squad,27,27,1510,0,0,0,0,0,0,140.1,2,0,0.0769
306cdfb564445f,cb9be5068fe48e,d56a814fd99d70,0,0,200,2,0,0,69,0,0,0,0,2007,squad-fpp,29,28,1480,0,0,0,0,0,0,589.3,3,0,0.25
9f3b1c12a9f2ec,fb1d7d36187631,066bda6450c15b,0,0,0,0,0,0,92,0,0,0,0,1817,squad-fpp,29,29,1514,0,0,0,0,0,0,103,1,0,0.0714
ee3025cc18e7c9,fabb0207f0c596,511978f8a62c1e,2,2,129.4,1,1,5,23,1188,1,1,18.31,1972,duo-fpp,50,47,-1,1,0,0,0,0,0,3563,5,1621,0.9796
ba6ae608ca5f37,3c3720c21ab5f9,6624dcb5e8acb8,0,0,0,0,0,0,71,0,0,0,0,1809,squad-fpp,28,27,1484,0,317.8,0,0,0,0,982.5,2,0,0.2963
498c5db01d537c,b78e350035fc04,fb62da776174fb,1,1,100,1,0,1,30,0,1,1,10.64,1318,squad-fpp,29,28,1489,0,0,0,0,0,0,1150,3,0,0.5
e62133b0c6f55d,d3bf7b5d7d5a19,a008a6419c2d47,0,0,161.8,1,0,0,27,1077,1,1,8.427,1442,duo-fpp,50,50,-1,0,867.1,0,0,0,0,638,2,1512,0.5714
95aaab951e3eec,84c97cfeefc4f5,a1729dc8da7e7a,0,4,283.1,0,1,14,27,0,1,1,151.9,1777,duo-fpp,49,47,1494,0,0,0,0,0,0,3683,3,0,0.8958
07719d6195d86b,ef74183e05c457,dc0716495eb407,0,0,190.3,1,0,0,47,1425,1,1,2.431,1341,squad-fpp,30,30,-1,0,0,0,0,0,0,14.85,2,1528,0.2414
3dc087431e40f1,a9672f175e2436,831872ded8d409,0,1,239.6,3,1,2,10,0,3,1,291,1665,squad-fpp,29,27,1500,0,0,0,0,0,0,2666,5,0,0.7143
416fafd3666b44,a85946d7fea543,6044ea5f1f6659,0,2,143.5,1,1,1,20,0,2,1,7.58,1892,squad-fpp,27,25,1490,0,0,0,0,0,0,827.6,4,0,0.3462
677089d4226510,2cf8fb44c49cf4,06f853dab32a20,0,0,46.41,0,0,0,81,0,0,0,0,1493,solo-fpp,95,94,1499,0,0,0,0,0,0,50.82,1,0,0.1489
35d182d668c400,bcce1d76eca0b6,f226ac9bda656d,0,1,125.9,1,0,0,56,0,0,0,0,1719,squad-fpp,27,25,1496,0,0,0,0,0,0,547.5,3,0,0.2692
5fd62798396ca8,bb19a05801d30d,9e3c46f8acde82,0,0,36,0,0,0,84,0,0,0,0,1999,solo,94,92,1507,0,0,0,0,0,0,292.6,1,0,0.1075
278fb2f43fc27b,88154feae77bb4,f77d0c40d31302,0,0,199.8,1,0,0,40,0,1,1,28.8,1423,duo-fpp,49,48,1469,0,0,0,0,0,0,258.8,3,0,0.2292
48649b6932f7df,bf586d215f4962,edadbf0f8c2c8d,0,0,80.6,0,0,0,66,0,0,0,0,1391,duo-fpp,49,48,1496,0,0,0,0,0,0,747.9,6,0,0.5
e14843dc63bf7a,2f6110b3272f3b,e61de731d4992e,0,0,0,0,0,0,64,1000,0,0,0,1399,duo-fpp,49,47,-1,0,0,0,0,0,0,302.3,2,1500,0.3958
7f3d7f85e7736e,6a86c130486275,8fde7d36c52447,1,0,126.3,0,0,1,52,1463,0,0,0,1796,squad-fpp,21,20,-1,0,0,0,0,0,0,1089,3,1514,0.25
707756a08b72fe,e8650092e8c52c,5c0f705f157bb1,0,0,47.85,0,0,5,62,0,0,0,0,1913,squad,27,26,1340,0,0,0,0,0,0,565.5,3,0,0.4231
2bea3a18442001,3a12f8041a15c5,70dcb3a9941c7f,1,1,64.73,0,0,1,49,0,0,0,0,1287,squad-fpp,30,29,1533,0,0,0,0,0,0,3309,7,0,0.7586
8fc5c0d83de539,5643bbd0e52243,f07c2c6a9dbad2,1,2,566.4,4,2,1,2,1072,6,4,42.99,1380,duo,48,47,-1,0,0,0,0,0,0,822.1,5,1482,0.5106
249c7209d743ed,858a260e998bbd,849713cc6c3f22,0,0,0,0,0,0,85,1054,0,0,0,1743,squad-fpp,29,29,-1,0,0,0,0,0,0,249.7,2,1507,0.1071
18d002b46b1abc,00a3f236559532,eccc44618c0442,0,1,236,0,0,7,7,1142,3,1,11.72,1423,solo,94,88,-1,0,0,0,0,0,0,1913,8,1557,0.9355
707550186fd7f7,82f350bdba9e4e,7932e2acfa4c4c,1,6,604.7,0,2,7,4,0,5,1,99.23,1465,solo-fpp,93,92,1543,0,0,0,0,0,0,1766,2,0,0.9891
04c32b79188af7,f7e1bac1035636,5ecb56bf94c292,0,0,65.28,0,0,0,84,1347,0,0,0,1387,squad,29,29,-1,0,0,0,0,0,0,67.54,2,1469,0.1429
c4260ce3746cf8,2e3ce1fb9b7812,8fb790bb47a1cc,0,0,0,0,0,0,94,0,0,0,0,1360,squad,27,27,1489,0,0,0,0,0,0,68.9,2,0,0
ea298bfc126b74,9b14f3d8e827b9,e34a9178e40c01,0,0,0,0,0,0,40,0,0,0,0,1321,duo,48,46,1526,0,0,0,251,0,0,838.7,3,0,0.7021
9df583833b18fb,1574566ff55957,9e9009b7df3ef4,0,4,116.9,0,0,1,49,1242,0,0,0,1403,squad-fpp,27,27,-1,0,0,0,0,0,0,1704,3,1468,0.6923
cfa11f07d80695,1a4ffd9d6d597f,4563c0409f9115,0,3,76.44,0,0,2,50,0,0,0,0,1441,solo-fpp,95,95,1560,0,1054,0,0,0,0,1542,2,0,0.883
7970b4ea89e81e,abf9e2780b9f48,04832cfd74ff30,1,1,58.36,0,0,2,38,0,0,0,0,1708,squad,26,25,1494,0,5134,0,0,0,0,2708,7,0,1
4eb922611c2099,8152a3807e04c1,3bd9d67a87b195,0,0,150,2,0,0,41,1575,1,1,14.27,1369,squad-fpp,29,29,-1,0,0,0,0,0,0,615,4,1465,0.4643
de93ba20446980,29276739992710,7456e2eaa324a2,0,0,19.35,0,0,0,96,0,0,0,0,1923,solo-fpp,96,89,1500,0,0,0,0,0,0,20.34,1,0,0
de1e7870d95850,43f162c9b830a5,836bf5e3ff735d,0,0,100,1,0,0,83,1000,0,0,0,1399,duo,50,46,-1,0,0,0,0,0,0,43.67,1,1462,0.0816
be91dbb39a9248,9e4388a175f6eb,f942817d155e51,0,0,0,0,0,0,58,0,0,0,0,1356,solo-fpp,96,93,1494,0,0,0,0,0,0,855.1,3,0,0.6526
05a0034ba0b373,23b71abeee41d9,aaafbd75649306,0,0,141.7,0,0,0,72,1137,0,0,0,1309,squad-fpp,29,28,-1,0,0,0,0,0,0,643.9,4,1444,0.3214
e264f7f399aa6a,ecc9bd5948a78e,0413aa90513446,1,2,454.2,2,0,5,11,0,2,1,104.6,1840,squad-fpp,32,30,1494,0,5967,0,0,0,0,2693,4,0,0.871
caf2cdfae38ea0,adf73b968eaa52,2c224ee4e2b056,0,0,64.31,0,0,0,75,1047,0,0,0,1885,duo,49,44,-1,0,0,0,0,0,0,110.7,2,1467,0.0833
97826efa3ce126,1fe1587f87148a,e949032bc7cb3b,0,1,347.5,2,0,3,16,1604,2,2,42.61,1822,squad-fpp,27,27,-1,1,0,0,0,0,0,943.3,3,1552,0.2308
6adb021f5165ff,58e5500bd40898,de5c692fe25a73,0,0,0,0,0,0,68,311,0,0,0,1414,duo,41,36,0,0,0,0,0,0,0,0,0,847,0
e38796a3b026fb,496a9851ffb961,ce63db1f3307af,0,1,22.05,0,0,0,65,0,0,0,0,1290,solo-fpp,96,94,1547,0,0,0,0,0,0,148.2,2,0,0.4105
953577684b828a,54ce33c41ef9ff,c5d412db6dbee4,2,6,76.11,0,0,12,45,0,0,0,0,1388,duo-fpp,49,47,1468,1,0,0,0,0,0,2635,7,0,1
3b53520db7cdfe,98390d938b637e,33450f1a2d1e7f,0,0,30.1,0,0,1,60,1405,0,0,0,1878,duo-fpp,45,44,-1,0,0,0,0,0,0,304.5,2,1585,0.3409
4db4a1a8eb663d,dfa1741766b82e,9c169b35430d3a,0,2,0,0,0,0,54,0,0,0,0,2048,duo,50,48,1459,0,2519,0,0,0,0,1493,2,0,0.6327
d08ce24e7a7973,d57ed9de010a4e,1eda9747e31f1f,0,0,0,0,0,0,65,0,0,0,0,1471,solo,99,94,1500,0,0,0,0,0,0,870.9,3,0,0.3878
28964be8892dbb,c6dbd3a397f311,8423431e91a01a,1,2,291.7,1,0,0,31,1209,1,1,8.016,1871,duo-fpp,49,44,-1,2,0,0,0,0,0,1118,1,1445,0.6667
174c758156bcf3,a935604c9bb7aa,edc87c8d445823,1,9,626.2,4,3,2,4,1333,6,2,85.74,1405,squad-fpp,29,28,-1,0,1045,0,0,0,0,2814,7,1566,1
496a426b1df292,ff8064240984ea,21fdff44f1e96a,0,1,100,1,0,1,30,0,1,1,41.69,1370,squad-fpp,28,27,1470,1,0,0,0,0,0,1677,5,0,0.5926
43a76f346869cd,20788dca88b6ea,092cd422abdde8,0,1,205.3,2,0,0,21,1122,2,2,5.563,1283,squad,27,26,-1,0,0,0,0,0,0,565.9,3,1453,0.3462
2a380e25c242d5,2edeff8e6a0405,0c7b191ecec1fb,0,1,161.8,0,0,0,15,1004,2,1,52.75,1349,solo-fpp,94,93,0,0,0,0,0,0,0,536.9,6,1495,0.6667
3cbab6d3b50b46,eac94e25fe8e15,0a96193a752100,0,1,125.8,1,1,0,28,1282,1,1,19,1448,duo,49,48,-1,1,0,0,0,0,0,1104,2,1522,0.5625
778bd3638d82a0,92b1dd08bded10,a82a5310707450,0,0,0,0,0,0,82,1213,0,0,0,1340,squad,28,27,-1,0,0,0,0,0,0,151.4,2,1486,0.037
7a3a766bf6ef36,75596ebae71733,9ea4e2a9fc04d2,0,4,241.4,3,1,4,11,1165,3,1,83.22,1905,squad-fpp,26,25,-1,0,4522,0,0,0,0,2532,7,1440,0.68
70468fefd77502,cca2f7d4ac3854,95193de7a79656,2,5,396.7,0,1,2,26,1814,1,1,65.39,1882,squad-fpp,28,27,-1,0,2385,0,0,0,0,3514,6,1575,0.8148
9d0db0d43f0358,74e4d4d327a5f1,d7533af8a58b44,0,3,269.7,3,0,5,6,0,3,1,50.21,1910,squad-fpp,29,29,1395,2,0,0,0,0,0,1575,7,0,0.9643
2d961430e682a0,6bc402dbaa6810,07c6e81561dc98,0,2,43,0,0,0,61,1378,0,0,0,1394,duo-fpp,49,49,-1,0,0,0,0,0,0,92.3,1,1496,0.4583
9c0e63787ad038,c8ab4c44f2c84e,0bf9add87c7ec6,0,0,0,0,0,0,87,0,0,0,0,1357,squad,27,24,1444,0,0,0,0,0,0,79.86,1,0,0.0385
438096d874d435,59ba0cfe397729,913bcbcf4ef229,0,0,115.7,0,0,0,51,0,0,0,0,1769,duo,50,46,1500,0,2389,0,0,0,0,1497,5,0,0.6327
c19e2a194ea6ae,ae013edc78a625,6cf82170e31094,0,0,107.3,0,0,1,83,0,0,0,0,1334,squad-fpp,30,29,1553,0,0,0,0,0,0,145.6,1,0,0.069
75b8570b213f74,84640a116c5d8a,7a6c92221e61d5,0,1,61.62,0,0,2,35,0,1,1,2.294,1381,duo-fpp,49,47,1521,0,0,0,0,0,0,195.8,2,0,0.3542
76e0fbe2b8f60c,5baf3c542b04ae,aedb3fefc7c3a4,0,0,37.73,0,0,0,68,1335,0,0,0,1349,solo-fpp,96,96,-1,0,0,0,0,0,0,101.8,2,1602,0.3474
d57bffcbbfe1f4,1f6ef7ad6c498b,ef93c286b6272d,0,0,200,1,1,0,25,0,2,2,5.288,1906,duo-fpp,49,46,1471,0,0,0,0,0,0,33.85,1,0,0.2083
a59af7c8a09bd3,2334e3c43543a6,8ba09dd8bd7af7,0,0,0,0,0,0,90,1000,0,0,0,1453,solo-fpp,98,97,0,0,0,0,0,0,0,23.19,1,1500,0.0825
09f7ce13bbc035,3d65bb19151f4a,f355641ee41662,0,0,52.94,1,0,0,41,1479,1,1,3.465,1400,squad-fpp,29,29,-1,2,0,0,0,0,0,184.8,3,1434,0.1786
